"","UBIDPTO","REGION","ZONA","OCU","INFORM","SEXO","GEDUC","AEDUC","AEDAD","AEDAD2","WS","LWS"
"570","13","Sierra","Urbana","Ocupado","Formal","Femenino","Secundaria",11,54,2916,229.791591952116,5.43717277619922
"571","13","Sierra","Urbana","Ocupado","Informal","Femenino","Primaria",4,47,2209,12.1205379831195,2.49490136770221
"572","13","Sierra","Urbana","Ocupado","Informal","Masculino","Secundaria",7,50,2500,75.5232255973488,4.32444023275442
"573","13","Sierra","Urbana","Ocupado","Formal","Femenino","Sup. Univ.",16,46,2116,610.226895703921,6.41383084817769
"574","13","Sierra","Urbana","Ocupado","Informal","Masculino","Secundaria",11,38,1444,811.76919580614,6.69921605813932
"575","13","Sierra","Urbana","Ocupado","Informal","Femenino","Primaria",6,39,1521,243.312128784552,5.49434509969595
"576","13","Sierra","Urbana","Ocupado","Informal","Masculino","Primaria",2,48,2304,55.9424197733536,4.02432294342307
"577","13","Sierra","Urbana","Ocupado","Informal","Femenino","Primaria",6,43,1849,109.986210970238,4.70035500311882
"578","13","Sierra","Rural","Ocupado","Informal","Femenino","Primaria",0,59,3481,23.0712139140708,3.13858568953003
"579","13","Sierra","Rural","Ocupado","Informal","Masculino","Primaria",0,74,5476,38.6732545472394,3.65514826414758
"580","13","Sierra","Rural","Ocupado","Informal","Masculino","Secundaria",11,37,1369,151.506724788993,5.02063001201046
"581","13","Sierra","Rural","Ocupado","Informal","Masculino","Primaria",0,59,3481,105.709502156574,4.66069478624885
"582","13","Sierra","Rural","Ocupado","Informal","Femenino","Primaria",2,55,3025,198.109426211431,5.28881953566904
"583","13","Sierra","Rural","Ocupado","Informal","Masculino","Primaria",6,63,3969,68.7533681479166,4.23052572658907
"584","13","Sierra","Rural","Ocupado","Formal","Masculino","Secundaria",11,32,1024,711.065168987532,6.5667640838132
"585","13","Sierra","Rural","Ocupado","Informal","Masculino","Secundaria",11,37,1369,138.945091278007,4.93407882831013
"586","13","Costa","Rural","Ocupado","Informal","Masculino","Primaria",6,50,2500,142.224540637364,4.95740708080104
"587","13","Costa","Rural","Ocupado","Informal","Femenino","Secundaria",9,49,2401,23.3588849105056,3.15097742182519
"588","13","Costa","Rural","Ocupado","Informal","Masculino","Secundaria",8,59,3481,135.66564191865,4.91019334332078
"589","13","Costa","Rural","Ocupado","Informal","Masculino","Primaria",0,57,3249,140.095775263746,4.94232629774015
"590","13","Costa","Rural","Ocupado","Informal","Femenino","Secundaria",7,46,2116,65.0635100398376,4.17536387040205
"591","13","Costa","Rural","Ocupado","Informal","Masculino","Secundaria",11,48,2304,60.4876215170234,4.10243874107833
"592","13","Costa","Rural","Ocupado","Informal","Masculino","Secundaria",8,25,625,223.750501026985,5.41053159637921
"593","13","Costa","Rural","Ocupado","Informal","Femenino","Secundaria",11,24,576,54.0778350740825,3.99042439901925
"594","13","Costa","Rural","Ocupado","Informal","Masculino","Secundaria",11,31,961,421.418831710549,6.04362718881618
"595","13","Costa","Rural","Ocupado","Informal","Masculino","Primaria",6,27,729,292.657293706334,5.6790022783938
"596","13","Costa","Rural","Ocupado","Informal","Masculino","Primaria",6,35,1225,138.617799969531,4.93172050541837
"597","13","Costa","Rural","Ocupado","Informal","Femenino","Primaria",2,33,1089,10.9890320638093,2.39689769027009
"598","13","Costa","Rural","Ocupado","Informal","Masculino","Sup. No Univ.",13,48,2304,168.345067113643,5.12601584380353
"599","13","Costa","Rural","Ocupado","Informal","Masculino","Primaria",5,47,2209,112.076620210997,4.71918274642594
"600","13","Costa","Rural","Ocupado","Informal","Femenino","Primaria",6,31,961,60.6794021813133,4.1056043024429
"601","13","Costa","Urbana","Ocupado","Formal","Masculino","Sup. No Univ.",14,53,2809,597.032386000779,6.39197135982874
"602","13","Costa","Urbana","Ocupado","Formal","Femenino","Secundaria",11,53,2809,428.553072422132,6.06041458666263
"603","13","Costa","Urbana","Ocupado","Informal","Masculino","Secundaria",11,45,2025,349.596972933995,5.85678098508827
"604","13","Costa","Urbana","Ocupado","Informal","Femenino","Secundaria",11,45,2025,61.5424151706177,4.11972661466521
"605","13","Costa","Urbana","Ocupado","Informal","Masculino","Sup. No Univ.",14,23,529,64.3232348028207,4.16392091593851
"606","13","Costa","Urbana","Ocupado","Formal","Femenino","Sup. No Univ.",14,65,4225,291.583321986311,5.67532580366449
"607","13","Costa","Urbana","Ocupado","Formal","Masculino","Sup. Univ.",16,69,4761,582.668014245468,6.36761758032296
"608","13","Costa","Urbana","Ocupado","Formal","Femenino","Sup. Univ.",18,32,1024,951.769080737742,6.85832244311811
"609","13","Costa","Urbana","Ocupado","Formal","Femenino","Sup. Univ.",16,28,784,710.892566389672,6.56652131626193
"610","13","Costa","Urbana","Ocupado","Formal","Masculino","Sup. Univ.",16,26,676,1020.44573661994,6.92799480750929
"611","13","Costa","Urbana","Ocupado","Informal","Masculino","Sup. Univ.",16,34,1156,201.369697504358,5.30514250970097
"612","13","Costa","Urbana","Ocupado","Formal","Masculino","Primaria",3,79,6241,93.2245809113034,4.53501143060081
"613","13","Costa","Urbana","Ocupado","Formal","Masculino","Sup. No Univ.",14,49,2401,862.706140241529,6.76007412352739
"614","13","Costa","Urbana","Ocupado","Formal","Femenino","Sup. No Univ.",14,47,2209,583.109109773334,6.36837432110956
"615","13","Costa","Urbana","Ocupado","Formal","Masculino","Secundaria",11,50,2500,270.391558582281,5.59987112542071
"616","13","Costa","Urbana","Ocupado","Informal","Masculino","Sup. Univ.",13,73,5329,93.2245809113034,4.53501143060081
"617","13","Costa","Urbana","Ocupado","Informal","Masculino","Secundaria",11,51,2601,467.00509561225,6.14634016898464
"618","13","Costa","Urbana","Ocupado","Informal","Femenino","Sup. Univ.",13,43,1849,81.7177410539115,4.40327112705526
"619","13","Costa","Urbana","Ocupado","Informal","Femenino","Sup. Univ.",16,24,576,140.114953330175,4.94246318091058
"620","13","Costa","Urbana","Ocupado","Informal","Femenino","Sup. Univ.",16,23,529,217.153246175414,5.38060330786939
"621","13","Costa","Urbana","Ocupado","Informal","Femenino","Sup. Univ.",14,21,441,201.829971098654,5.30742561571553
"622","13","Costa","Urbana","Ocupado","Informal","Femenino","Sup. No Univ.",13,59,3481,96.3889618720861,4.56839169165889
"623","13","Costa","Urbana","Ocupado","Formal","Masculino","Secundaria",11,35,1225,266.61347949577,5.58579996721578
"624","13","Costa","Urbana","Ocupado","Informal","Femenino","Primaria",2,61,3721,66.0684388478585,4.19069115700311
"625","13","Costa","Urbana","Ocupado","Informal","Masculino","Sup. No Univ.",14,28,784,63.0766604849366,4.14435081974441
"626","13","Costa","Urbana","Ocupado","Informal","Femenino","Sup. No Univ.",13,37,1369,176.610813744537,5.17394851927672
"627","13","Costa","Urbana","Ocupado","Informal","Femenino","Primaria",6,38,1444,51.6081767604027,3.94368012428226
"628","13","Costa","Urbana","Ocupado","Formal","Masculino","Secundaria",7,55,3025,351.821628639757,5.86312431034473
"629","13","Costa","Urbana","Ocupado","Formal","Femenino","Sup. No Univ.",16,52,2704,631.284412642948,6.44775649418161
"630","13","Costa","Urbana","Ocupado","Informal","Masculino","Sup. Univ.",12,35,1225,303.550435437998,5.71554777606067
"631","13","Costa","Urbana","Ocupado","Informal","Masculino","Secundaria",9,59,3481,55.8081733083507,4.02192033372089
"632","13","Costa","Urbana","Ocupado","Formal","Masculino","Sup. Univ.",16,48,2304,232.534055451461,5.44903668936104
"633","13","Costa","Urbana","Ocupado","Formal","Femenino","Sup. Univ.",18,57,3249,715.130919070477,6.57246562952766
"634","13","Costa","Urbana","Ocupado","Formal","Femenino","Sup. Univ.",16,48,2304,748.845959852636,6.61853330128816
"635","13","Costa","Urbana","Ocupado","Formal","Femenino","Secundaria",11,57,3249,289.70387147627,5.66885926842874
"636","13","Costa","Urbana","Ocupado","Formal","Femenino","Sup. Univ.",16,41,1681,484.533848328344,6.18318729128136
